file,variable,latitude,longitude,ecco_mean,omg_mean,difference
CTD_20160916_140334.nc,THETA,74.73277282714844,-65.24624633789062,0.45726728,1.2565912,0.7993239
CTD_20160928_154417.nc,THETA,75.95733642578125,-59.61069107055664,1.5420092,1.3411667,-0.2008425
CTD_20160923_153439.nc,THETA,81.22250366210938,-64.78015899658203,-0.85167974,-0.29401058,0.55766916
CTD_20160914_145226.nc,THETA,69.19828033447266,-52.412818908691406,1.6029425,2.1628723,0.55992985
CTD_20160924_155359.nc,THETA,73.73886108398438,-61.26927947998047,0.48854497,1.4049733,0.9164283
CTD_20160928_133513.nc,THETA,74.03338623046875,-58.2613410949707,0.15606375,1.0078883,0.8518246
CTD_20160928_130838.nc,THETA,74.64826202392578,-61.149200439453125,0.62559575,1.5933299,0.96773416
CTD_20160914_113251.nc,THETA,67.74603271484375,-58.61214828491211,1.0186199,1.1464938,0.1278739
CTD_20160913_154431.nc,THETA,64.77964782714844,-53.0094108581543,2.2732573,3.6394675,1.3662102
CTD_20160928_131853.nc,THETA,74.524169921875,-60.02251052856445,0.52493834,1.6233,1.0983616
CTD_20160929_145648.nc,THETA,71.98985290527344,-17.682830810546875,0.5443912,0.91178834,0.36739713
CTD_20160924_163708.nc,THETA,71.98094177246094,-59.961429595947266,0.71054274,1.8447305,1.1341877
CTD_20160929_150010.nc,THETA,71.91944122314453,-17.121719360351562,0.50299275,0.48380628,-0.019186467
CTD_20160924_161112.nc,THETA,73.0257568359375,-63.04066848754883,0.40490803,1.2464974,0.84158933
CTD_20160919_105644.nc,THETA,74.83074951171875,-16.701690673828125,-0.4385871,0.40561587,0.844203
CTD_20160916_152547.nc,THETA,76.54753875732422,-74.03031158447266,-0.36818197,0.02298919,0.39117116
CTD_20160924_184444.nc,THETA,73.62181854248047,-58.00141906738281,0.45312107,1.6982335,1.2451124
CTD_20160924_164636.nc,THETA,72.24394226074219,-58.547821044921875,0.541628,1.3017172,0.76008916
CTD_20160914_140842.nc,THETA,70.98692321777344,-56.181060791015625,0.53876007,2.1839967,1.6452366
CTD_20160919_103843.nc,THETA,73.87767028808594,-18.016870498657227,-0.37600073,0.23801714,0.61401784
CTD_20160923_152417.nc,THETA,81.11044311523438,-62.13706970214844,-0.9536092,-0.2241296,0.7294796
CTD_20160913_152643.nc,THETA,64.10706329345703,-53.22467041015625,2.9968262,4.540856,1.5440297
CTD_20160924_180521.nc,THETA,73.07792663574219,-58.98640060424805,0.5907016,1.6542925,1.0635909
CTD_20160929_141211.nc,THETA,71.945068359375,-21.572460174560547,0.0077384305,0.71292824,0.7051898
CTD_20160924_160742.nc,THETA,73.18962860107422,-62.573429107666016,0.52635133,1.2043681,0.6780168
CTD_20160921_112603.nc,THETA,77.55322265625,-15.455860137939453,-0.99293554,-0.57840073,0.4145348
CTD_20160914_121319.nc,THETA,69.2605209350586,-59.08258056640625,1.1566622,1.1532625,-0.0033997297
CTD_20160916_123311.nc,THETA,68.37175750732422,-55.62213134765625,1.7928193,2.17525,0.3824308
CTD_20160921_112128.nc,THETA,77.28082275390625,-15.233920097351074,-0.97322845,-0.8238482,0.14938027
CTD_20160928_154917.nc,THETA,75.94892883300781,-60.439361572265625,1.0429832,1.600942,0.55795884
CTD_20160916_145103.nc,THETA,75.84780883789062,-69.34266662597656,-0.09580286,1.381976,1.4777789
CTD_20160923_163350.nc,THETA,78.36917114257812,-73.61444091796875,-0.7521267,0.337596,1.0897226
CTD_20160928_134526.nc,THETA,74.11335754394531,-56.47211837768555,4.13209,1.6245837,-2.5075064
CTD_20160924_154631.nc,THETA,74.03315734863281,-62.52777099609375,0.45289057,1.2969736,0.844083
CTD_20160924_171848.nc,THETA,72.9395980834961,-55.62314987182617,0.8439503,1.8307245,0.9867742
CTD_20160920_111204.nc,THETA,76.37444305419922,-16.79054069519043,-0.7147859,-0.02185288,0.69293296
CTD_20160923_152021.nc,THETA,80.9990005493164,-61.32299041748047,-0.9536092,-0.002129997,0.95147926
CTD_20160920_104035.nc,THETA,75.3404312133789,-15.34652042388916,-0.7697632,-1.0412686,-0.27150542
CTD_20160928_145132.nc,THETA,75.18546295166016,-58.26137161254883,3.9203985,0.66904145,-3.251357
CTD_20160915_164446.nc,THETA,70.36614990234375,-50.795440673828125,0.8600794,2.0304067,1.1703273
CTD_20160928_151457.nc,THETA,75.60061645507812,-59.79729080200195,-0.0039772866,1.7232269,1.7272042
CTD_20160920_105734.nc,THETA,75.7161636352539,-18.600900650024414,-0.4866179,0.10155994,0.5881778
CTD_20160915_161939.nc,THETA,70.61602020263672,-51.961151123046875,0.7362692,2.2097535,1.4734843
CTD_20160914_130330.nc,THETA,70.65934753417969,-58.91387176513672,1.0797813,2.1713405,1.0915592
CTD_20160915_153637.nc,THETA,70.8405532836914,-53.64358901977539,0.8511316,2.16227,1.3111384
CTD_20160916_121551.nc,THETA,68.61138153076172,-53.895999908447266,2.2180212,2.2384143,0.020393133
CTD_20160921_102953.nc,THETA,74.84977722167969,-12.002249717712402,0.986322,1.0352179,0.048895895
CTD_20160921_113706.nc,THETA,77.9930191040039,-16.84140968322754,-1.1254083,-0.05425066,1.0711576
CTD_20160923_155926.nc,THETA,79.8961410522461,-64.80135345458984,-0.14045495,-1.0574013,-0.91694635
CTD_20160929_152248.nc,THETA,71.13201141357422,-20.44584083557129,0.26376733,0.8972343,0.63346696
CTD_20160923_151432.nc,THETA,81.22933959960938,-61.95423889160156,-0.9536092,-0.5642863,0.38932294
CTD_20160924_155010.nc,THETA,73.89958190917969,-61.89455032348633,0.468658,1.479377,1.0107191
